Support_ID,H1_KPI_weighted_power,H2_Criticity,H3_Condition,H4_Risk
RPUDB12T//74-22-4,5.63,5.751,3.288,4.602
RPUWQIFO//74-22-5-CT,4.481,3.809,3.284,3.608
RPWULH1G//74-22-3,5.618,4.699,4.017,4.431
RQ0W7MUL//74-22-2,5.62,4.708,5.136,4.985
RQ2HC35J//74-27,6.756,6.654,2.916,4.897
RQ2NBO45//79,7.877,6.479,2.88,4.803
RQ2O32O0//74-26,6.755,6.637,3.287,5.063
RQ2O34P5//74-2-1-CT,4.49,3.792,2.908,3.425
RQ2O35AP//81,7.844,6.484,2.915,4.813
RQ2RSBDX//74-10-1-CT,4.498,3.813,2.915,3.429
RQ2TB80M//74-3,6.754,5.608,2.899,4.36
RQ2U2NH2//78,7.86,6.493,2.911,4.817
RQ2VJJ4Q//74-4,6.733,5.606,5.186,5.498
RQ2WAWCD//74-25,6.742,6.648,3.291,5.085
RQ2WB0PA//79-1-CT,5.614,4.68,3.294,4.069
RQ3227SQ//77,7.872,6.489,2.901,4.777
RQ351XNN//74-3-1-CT,4.489,3.814,2.897,3.426
RQ351XTF//74,7.883,6.504,2.912,4.811
RQ35REIC//74-6,6.716,5.607,5.161,5.491
RQ36IS0S//74-24,6.75,6.631,3.267,5.134
RQ36IS7R//74-22-1,5.62,4.696,4.791,4.85
RQ36ITU7//74-2,6.759,5.6,2.893,4.375
RQ37A8RE//74-28,6.751,6.648,4.779,5.807
RQ38R6MC//74-7,6.738,5.61,3.274,4.537
RQ38R73O//74-1,6.734,5.597,2.9,4.37
RQ38R785//76,7.854,6.49,2.893,4.805
RQ3D9RJP//74-23,6.754,6.648,3.29,5.099
RQ3E19WA//74-8,6.759,5.596,3.273,4.532
RQ3E1AI0//75,7.864,6.49,3.256,5.01
RQ3HQH2A//74-10,6.745,5.611,4.771,5.292
RQ3IHW6E//74-9,6.741,5.598,3.289,4.514
RQ3K0TFG//82,7.859,6.485,7.037,6.885
RQ3M949X//74-22,6.737,5.603,3.285,4.549
RQ3OHGEU//74-11,6.723,5.612,3.272,4.558
RQ3TPIUD//74-21,6.757,5.598,5.138,5.474
RQ3TPJNW//74-12,6.73,5.622,3.277,4.548
RQ4087VA//74-13,6.745,5.609,3.287,4.544
RQ44OTL4//74-20,6.722,5.603,5.161,5.46
RQ44OU50//74-14,6.732,5.594,3.262,4.542
RQ4AOEG4//74-15,6.741,5.586,3.277,4.529
RQ4C7A7X//74-19,6.745,5.6,2.907,4.336
RQ4CWPID//74-16,6.75,5.598,3.273,4.547
RQ4CWRDB//83,7.88,6.507,3.268,4.992
RQ4HFDQA//74-17,6.748,5.611,3.28,4.555
RQ4KF5UF//74-18,6.748,5.608,3.287,4.555
RQ4O6CAL//74-29,6.744,6.652,2.893,4.884
RQ4RVMH0//84,7.839,6.513,2.889,4.802
RQ52UWT5//80-1-CT,5.603,4.695,2.891,3.898
RQ5BU910//73,7.862,6.515,3.28,5.019
RQ5HTS99//85,7.848,6.485,2.896,4.824
RQ61SCFJ//74-30,6.735,6.654,3.673,5.248
RQ6M1DXH//86,7.845,6.515,2.895,4.829
RQ6R9HBI//86-1-CT,5.611,4.699,2.903,3.872
RQ7JG075//87,7.834,6.484,2.913,4.81
RQ7SF9TF//72,7.88,6.495,3.284,5.033
RQ82N36S//74-31,6.75,6.646,3.646,5.227
RQ82N3G8//74-33-5,5.616,5.75,1.766,3.84
RQ8AUX4A//74-33-6-CT,4.501,4.863,1.781,3.386
RQ8EM99R//88,7.854,6.477,3.659,5.182
RQ8UCGAG//74-33-4,5.619,5.734,7.06,6.506
RQ9PISCN//89,7.87,6.503,3.279,5.0
RQ9W9OJR//74-32,6.732,6.638,7.044,6.952
RQA9HCG7//74-33-3,5.625,5.741,7.059,6.517
RQAA8TM4//71,7.86,6.516,3.272,5.026
RQAKP3CS//90,7.853,6.504,2.902,4.795
RQAUFPTH//74-33-2,5.633,5.731,7.028,6.496
RQB7NGUI//91,7.853,6.474,2.897,4.821
RQBDN1ED//92-CT,6.737,5.599,2.901,4.353
RQBMM8KX//74-33-1,5.62,5.749,2.144,4.061
RQBQDFTA//74-33,6.74,6.642,5.184,6.035
RQCQ2FER//70,7.889,6.495,3.653,5.22
RQE5WOGE//74-34,6.737,6.659,3.666,5.268
RQFGTBSJ//69,7.874,6.515,3.269,4.992
RQFQK18D//74-35,6.743,6.646,3.667,5.272
RQHIFFCM//74-36,6.741,6.642,3.666,5.278
RQHUEI6N//74-37-CT,5.622,5.713,2.896,4.437
RQI6UR6H//68,7.868,6.521,2.914,4.808
RQJ7B5LL//68-1,6.752,5.604,3.291,4.535
RQK7030R//68-2,6.761,5.608,3.28,4.544
RQKTFCF1//67,7.89,6.494,3.273,5.015
RQL85UHJ//68-3,6.749,5.602,3.253,4.531
RQMA3527//68-4,6.743,5.598,3.279,4.561
RQMVQX85//66-1-CT,5.628,4.71,1.386,3.148
RQN6Q9V3//66,7.889,6.501,3.284,5.019
RQN6QA89//68-5,6.746,5.606,2.912,4.361
RQQ6IGW0//65,7.865,6.516,3.65,5.17
RQSVBDBP//64,7.875,6.515,3.663,5.17
RQVKLDLX//63,7.863,6.527,3.278,5.007
RQX20JL3//59-19-CT,5.633,4.705,2.9,3.886
RQXM7I3A//59-18,6.76,5.619,3.274,4.532
RR09VDW6//62,7.882,6.538,3.286,5.024
RR0BE8R1//59-17,6.733,5.627,7.068,6.399
RR0XTIF1//59-16,6.778,5.613,3.659,4.742
RR1K2GVE//59-15,6.75,5.61,3.644,4.754
RR24QJAE//59-14,6.765,5.603,7.049,6.448
RR2KGTFU//59-13,6.743,5.626,3.664,4.729
RR30OABW//61,7.892,6.522,3.287,5.007
RR356VST//59-12,6.758,5.619,3.626,4.745
RR3NV07V//59-11,6.771,5.616,3.652,4.726
RR4ATDQC//59-10,6.759,5.616,2.904,4.374
RR4MSGN9//59-9,6.752,5.607,2.891,4.363
RR5H9AOR//59-8,6.757,5.61,3.279,4.547
RR5OPPNV//60,7.897,6.532,2.908,4.829
RR6FFC1D//59-7,6.753,5.611,2.895,4.357
RR6GW843//59-7-1-CT,4.507,3.802,2.907,3.424
RR7L3RTG//59-6,6.749,5.598,3.271,4.536
RR8NQHGC//59-5,6.781,5.61,2.914,4.383
RR9JO7KN//59-4,6.757,5.618,2.9,4.372
RR9L73WC//59,7.89,6.505,3.269,5.031
RR9U6EJ3//59-1,6.77,5.6,2.907,4.367
RRAB59FH//59-3-A1,5.625,4.7,2.899,3.888
RRAPCNEN//59-3,6.756,5.624,3.282,4.559
RRAVC7SP//59-3-B1,5.621,4.713,1.023,2.96
RRBTI956//59-2,6.747,5.611,3.282,4.544
RRDA61MW//58,7.87,6.53,3.266,5.017
RRH7CSX5//57,7.893,6.495,2.906,4.831
RRKD4KI7//56,7.882,6.504,3.29,5.0
RRNHDFXP//55,7.898,6.519,3.275,5.023
RRQJE09U//54,7.873,6.519,2.897,4.826
RRRUAJIN//53,7.879,6.51,3.266,5.012
RRTA6V0M//52,7.884,6.524,3.657,5.21
RRULSVBA//51,7.9,6.545,3.287,5.016
RRVUH5EV//50,7.894,6.526,4.778,5.792
RRXRKN1Q//49,7.868,6.515,3.285,5.025
RS1HX76K//48,7.877,6.544,2.908,4.825
RS29E92M//47,7.902,6.522,3.301,5.005
RS30TAWM//46,7.916,6.515,2.898,4.814
RS40I8FR//45,7.89,6.516,2.914,4.863
RS53WD64//44,7.902,6.523,2.902,4.834
RT82CO7C//D34-3,6.785,5.639,2.906,4.367
RT8L2QFF//D34-2,6.784,5.623,2.895,4.378
RT9A9GXW//D34-1,6.782,5.636,2.895,4.348
RTIES7OX//D31-1-CT,5.655,4.73,2.905,3.907
RVWXPSPU//D6-1-CT,5.662,4.738,2.911,3.905
SR2JKGWT/80,7.936,6.563,2.529,4.663
SR31ARAI//74-5,6.756,5.593,3.282,4.535
S5OHC14B//D8,7.518,6.239,1.026,3.726
S5OKBRG7//D7,7.609,6.286,2.524,4.514
S5ONBJQT//D6,7.659,6.349,2.531,4.565
S5OQBC3W//D5,7.739,6.408,2.524,4.587
S5OSJNC8//D4,7.829,6.452,2.528,4.604
S5OVJFN8//D3,7.867,6.517,2.52,4.62
S5OWAURA//D2X2,6.071,5.068,1.397,3.323
S5P2246G//D1,8.022,6.621,2.517,4.705
S5PE16WJ//D2,7.938,6.568,1.395,4.099
S5PFI312//D2X1,6.047,5.037,1.401,3.323
S5QI6POO//D9,7.477,6.176,1.02,3.712
S5S3B69E//D10,7.394,6.106,1.019,3.683
S5TGG2EI//D11,7.323,6.053,1.023,3.674
S5VC2NN1//D12,7.255,6.03,2.534,4.386
S5WXFFCR//D13,7.191,5.954,1.024,3.608
S61G0G0W//D14,7.127,5.909,1.021,3.575
S62DF24C//D15,7.053,5.857,1.389,3.715
S62H68M6//D18-5CT,7.179,5.949,2.914,4.527
S63NK5H8//D18-4,7.159,5.939,2.906,4.517
S644J141//D16,6.986,5.796,1.399,3.688
S651XKPV//D18-3,7.177,5.941,3.271,4.717
S66F4H2C//D18-2,7.182,5.946,2.906,4.509
S68C80M4//D18-1,7.177,5.942,2.896,4.543
S68L7B9D//D18,6.836,5.685,2.533,4.204
S68WEX0Q//D18-1-1CT,6.257,5.205,1.396,3.409
S69FM59I//D17,6.926,5.735,1.024,3.484
S6B014RF//D19,6.764,5.639,1.023,3.442
S6DKBCST//D20,6.721,5.579,1.022,3.408
S6GW2MLG//D21,6.659,5.515,1.024,3.358
S6JOCF2T//D22,6.573,5.467,1.019,3.329
S6MND6XT//D23,6.489,5.412,1.019,3.301
S6POMA23//D24,6.452,5.372,1.022,3.301
S6TMKI7P//D25,6.383,5.311,2.522,4.009
S6WGD6QK//D26,6.305,5.244,1.017,3.213
S6X7S4UK//189-15-CT,6.099,5.111,2.895,4.075
S6XPQQ6E//189-14,7.02,5.819,2.902,4.456
S7058P58//189-13,7.022,5.813,2.91,4.457
S70SFJ8S//D27,6.231,5.188,2.528,3.945
S71467HF//189-12,7.008,5.806,4.788,5.387
S71G5AC8//189-11,7.002,5.81,2.908,4.462
S73NP0J2//189-10,7.005,5.828,2.897,4.474
S74SM4JO//D28,6.164,5.119,1.018,3.169
S75OJP8F//189-9,7.005,5.82,2.878,4.469
S77KVV12//D29,6.1,5.071,1.019,3.149
S78157MX//189-8,7.022,5.832,2.901,4.468
S783DILX//189-6-1-CT,5.257,4.433,2.903,3.727
S7AAX8X3//189-7,7.027,5.801,2.909,4.449
S7AKO0K3//189-6,7.03,5.821,2.892,4.473
S7ALFFNX//189-7-1,6.133,5.119,2.9,4.121
S7ATNEM5//D30,6.039,5.02,1.016,3.113
S7BSKRFB//189-5,7.021,5.819,3.28,4.653
S7CKR95N//D59-3-11,6.247,5.204,2.913,4.166
S7CN1LDA//189-4,6.999,5.834,3.27,4.651
S7CT14OH//D59-3-10-1-CT,4.468,3.769,2.918,3.416
S7CWQBXF//D59-3-10,6.227,5.209,2.909,4.16
S7DAPFTG//189-3,7.0,5.808,1.396,3.72
S7DXW5GE//D59-3-9,6.242,5.194,2.898,4.163
S7EULF2I//D31,5.958,4.969,1.021,3.077
S7FUA7XL//D59-3-8,6.23,5.207,2.901,4.135
S7I8CKKC//D59-3-7,6.237,5.184,3.287,4.337
S7K3X81U//D59-3-6,6.228,5.195,2.904,4.13
S7K8FV77//D59,4.044,3.443,2.526,3.029
S7KO6AMP//D32,5.892,4.911,1.02,3.059
S7LWSE9U//D59-3-5-2-CT,4.449,3.777,2.918,3.396
S7M72A6O//D59-3-3,6.23,5.197,2.908,4.173
S7MARHA0//D59-3-5,6.217,5.193,2.915,4.15
S7MBIWHE//D59-3-3-1-CT,4.462,3.763,2.895,3.398
S7ML9NUP//D59-3-5-1,5.36,4.486,2.885,3.758
S7N5XQHB//D59-3-2,6.23,5.195,2.911,4.157
S7NGG35B//D33,5.836,4.851,1.019,3.03
S7NHWU4V//D58,4.106,3.492,1.021,2.316
S7NTVW28//D59-3-4,6.237,5.202,2.899,4.138
S7OJ4NLW//D57,4.183,3.547,2.531,3.092
S7OPTMG9//D59-1,7.148,5.911,1.015,3.561
S7PI254F//D59-3-1,6.23,5.204,2.901,4.135
S7Q6HER3//D59-2,7.127,5.909,2.899,4.495
S7R0WCF7//D34,5.75,4.805,1.025,2.993
S7R36JTR//D59-3,7.12,5.911,2.898,4.506
S7RO508P//D56,4.251,3.585,1.017,2.376
S7S2TH5D//D59-4,7.111,5.91,2.908,4.512
S7T5I6LW//D59-5,7.133,5.918,2.896,4.525
S7TF8XFQ//D55,4.322,3.662,1.395,2.591
S7UGEPQA//D59-5-1,6.225,5.19,2.888,4.148
S7UK5WW1//D59-6,7.125,5.906,3.272,4.672
S7URMHAB//D35,5.68,4.753,2.53,3.738
S7VJ3F5T//D59-7,7.147,5.916,3.287,4.693
S7VJ3FC1//D59-5-2,6.242,5.207,2.898,4.146
S7WF15FQ//D59-5-3,6.231,5.184,2.902,4.15
S7WIQCFE//D59-8,7.13,5.922,2.883,4.527
S7XG6WWF//D59-5-4-CT,5.351,4.478,2.905,3.77
S7XMVW0M//D59-9,7.156,5.909,3.29,4.702
S8005LC0//D54,4.379,3.72,2.518,3.179
S806545G//D59-10,7.141,5.907,3.269,4.675
S8065866//D36,5.603,4.71,1.023,2.946
S814B5B6//D59-11,7.132,5.905,3.271,4.718
S81H1N5Q//D59-12-1-CT,5.356,4.478,2.9,3.794
S81W0I6H//D59-12,7.134,5.918,1.399,3.765
S82CXD65//D59-13,7.125,5.923,2.884,4.531
S83RL7FF//D53,4.44,3.76,2.534,3.217
S841T57R//D37,5.541,4.646,2.523,3.645
S84734ES//D59-14,7.138,5.918,3.28,4.691
S84736GE//D52,4.527,3.837,1.02,2.494
S84J2977//D53-1,7.124,5.895,1.403,3.76
S84NIXJ3//D38,5.478,4.595,1.024,2.895
S84NIXPC//D37-1,7.153,5.917,1.397,3.779
S84S1M0G//D37-1-1,6.252,5.201,3.287,4.322
S84WIA2F//D39,5.424,4.535,1.025,2.864
S8530W8B//D40,5.341,4.474,2.521,3.58
S853QBGQ//D53-2,7.137,5.911,2.92,4.509
S856Q41I//D51,4.579,3.88,1.022,2.511
S859PVF1//D42-2-CT,6.271,5.216,2.895,4.162
S85AHD29//D37-1-3CT,6.25,5.213,2.907,4.142
S85GGRDN//D59-15,7.128,5.927,2.907,4.518
S85IP4H6//D59-16-1CT,6.233,5.193,1.398,3.415
S85JGM0G//D50,4.655,3.935,1.017,2.537
S85UOAUI//D42-1,7.138,5.916,2.9,4.519
S860FGKE//D53-3,7.136,5.915,2.897,4.504
S8646LTF//D59-16,7.137,5.904,3.294,4.698
S865NLKC//D41,5.264,4.425,1.021,2.809
S86A6896//D53-4,7.141,5.925,2.885,4.516
S86FECA3//D49,4.728,3.985,1.024,2.568
S86G5S8R//D42,5.19,4.362,2.536,3.518
S86JV1D6//D43,5.133,4.314,2.538,3.488
S86ODNJ7//D44,5.071,4.268,1.02,2.707
S86S4VRT//D37-1-X-1,5.369,4.504,3.269,3.953
S86UD7R5//D45,5.005,4.208,1.019,2.69
S86WLITM//D46,4.936,4.157,1.023,2.663
S872CQ0G//D47,4.869,4.09,1.023,2.625
S873TJ4G//D59-17,7.121,5.914,3.278,4.694
S8763X5V//D48,4.793,4.043,1.019,2.602
S87L2SME//D44-1,7.163,5.923,1.016,3.571
S885QRIM//D59-18,7.114,5.917,3.264,4.725
S88D9C3N//D40-1,7.131,5.912,1.4,3.774
S88WOSRW//D44-2-CT,6.272,5.202,2.896,4.133
S89ANS5P//D59-19,7.122,5.908,3.28,4.701
S89RV4VL//D37-2,7.137,5.926,3.278,4.711
S8B6AK5T//D37-3,7.158,5.934,3.286,4.713
S8B71UGX//D59-20,7.136,6.959,3.264,5.223
S8BMQAWE//D40-2,7.153,5.915,1.02,3.592
S8C3P1J7//D59-21,7.124,6.962,3.28,5.237
S8D5METU//D37-4,7.148,5.935,3.274,4.72
S8DICRSO//D59-22,7.121,6.948,1.399,4.296
S8E32U09//D59-26-1-CT,5.361,5.518,2.903,4.318
S8EPIACX//D40-3,7.159,5.929,1.392,3.784
S8EUQ8WK//D59-26,7.131,6.944,2.909,5.042
S8FV6L93//D59-27,7.118,6.94,3.28,5.241
S8GBE6DU//D37-5,7.144,5.919,3.297,4.705
S8GX3TNL//D59-28,7.14,6.949,3.264,5.239
S8HV9UT5//D59-29,7.116,6.965,3.269,5.236
S8I411LT//D37-6,7.155,5.937,2.905,4.528
S8IUWS47//D59-30,7.129,6.961,3.265,5.24
S8IVOEH2//D37-6-1,6.248,5.204,2.907,4.149
S8J1FLEQ//D40-4,7.137,5.917,1.023,3.583
S8JGEGPR//D37-6-2,6.252,5.206,2.908,4.155
S8JQ58J9//D37-7,7.169,5.906,3.286,4.692
S8JQUI4S//D59-31,7.129,6.972,2.904,5.082
S8K73W3V//D59-31-1-CT,5.355,5.509,2.91,4.298
S8KEKHV7//D37-6-3,6.25,5.19,2.906,4.141
S8KLBHKI//D37-8,7.14,5.913,2.903,4.531
S8L1IVBG//D37-6-4-CT,5.37,4.495,2.908,3.797
S8LO01LP//D59-32,7.128,6.953,3.289,5.244
S8LPH3OJ//D37-14,7.149,5.915,2.893,4.544
S8LW82QD//D37-9,7.135,6.971,3.268,5.257
S8MGW5D3//D37-13,7.137,5.906,3.271,4.727
S8N1M6RQ//D40-5,7.152,6.964,1.393,4.316
S8N5DET0//D37-12,7.155,6.974,2.887,5.065
S8N64U42//D37-14-1CT,6.273,5.207,2.907,4.16
S8N8D6UE//D37-10,7.127,6.973,3.266,5.24
S8NECJMT//D59-33,7.129,6.949,1.389,4.294
S8NFTLTD//D37-15,7.14,5.92,2.899,4.486
S8OJ9Q29//D37-11,7.165,6.966,2.916,5.086
S8PCWX9A//D59-34,7.119,6.955,3.279,5.234
S8Q7DWB0//D40-6,7.156,6.972,1.393,4.299
S8QN49G7//D37-16,7.153,5.914,3.257,4.68
S8RSQJ24//D59-35,7.139,6.952,1.385,4.29
S8SNWS2N//D59-36,7.12,6.938,3.272,5.225
S8TKM4BV//D40-7,7.152,6.979,1.021,4.085
S8TWL889//D37-17,7.137,5.929,2.894,4.532
S8UU1M6K//D59-37,7.121,6.944,3.287,5.222
S8W1O3VO//D59-38,7.125,6.933,3.283,5.242
S8XKSIKL//D59-39,7.122,6.939,2.884,5.067
S91H6L3M//D59-40,7.131,6.938,1.395,4.293
S935AS15//D59-41,7.126,6.962,3.267,5.233
S9362F3T//D37-18CT,7.161,5.934,2.912,4.526
S943H17G//D37-19,7.147,5.934,1.023,3.573
S94UER5Q//D59-42,7.13,6.956,3.273,5.232
S95TCFBF//D37-20,7.131,5.933,1.026,3.596
S96NR3FP//D59-43,7.14,6.943,3.287,5.183
S98JDOV2//D59-44,7.137,6.939,3.263,5.22
S9B6FE4T//D59-45,7.141,6.939,1.399,4.287
S9C9TIPU//D59-46,7.134,6.945,3.28,5.226
S9EKF18O//D59-47,7.13,6.944,2.907,5.05
S9G9AN83//D59-48,7.13,6.944,2.899,5.078
S9GNI37M//D59-49,7.109,6.943,2.905,5.062
S9H009WP//D59-48-1,6.233,6.229,2.9,4.68
S9HK78CL//D59-48-2,6.234,6.242,3.277,4.873
S9IG4WEF//D59-50,7.111,6.966,3.273,5.226
S9JAJQF3//D59-48-3,6.237,6.217,3.295,4.834
S9K78VHR//D59-51,7.108,6.945,3.288,5.213
S9L5EWSE//D59-48-4,6.242,6.233,3.287,4.876
S9M5TB4P//D59-52,7.125,6.96,2.902,5.05
S9MNRWGQ//D59-48-5,6.236,6.239,3.282,4.888
S9ODF1BO//D59-53,7.117,6.95,3.272,5.233
S9OEVVL6//D59-48-6,6.22,6.227,3.265,4.856
S9PP31O3//D59-48-7,6.236,6.234,3.271,4.856
S9QN92WJ//D59-48-8,6.237,6.218,1.024,3.735
S9R185I1//D59-54,7.132,6.959,2.894,5.042
S9R5OS3P//D59-48-9,6.229,6.231,3.292,4.854
S9SL4188//D59-55,7.149,6.946,2.898,5.057
S9SVK89X//D59-48-10,6.234,6.22,3.288,4.875
S9UVNI1O//D59-48-11,6.233,6.229,3.281,4.868
S9VK4R87//D59-56,7.144,6.963,3.273,5.22
S9WS1K4W//D59-57,7.131,6.964,2.901,5.046
S9WVQRRJ//D59-48-12,6.234,6.227,3.27,4.876
SA046O6W//D59-58,7.101,6.935,2.898,5.04
SA0WLIL2//D59-48-13,6.252,6.241,3.271,4.861
SA20IQMI//D59-59,7.103,6.95,3.266,5.237
SA2M8LLM//D59-48-14,6.207,6.239,2.915,4.704
SA3FW02P//D59-60,7.114,6.951,1.404,4.303
SA4W2N0P//D59-48-15,6.218,5.195,1.399,3.394
SA5L9D5K//D59-61,7.136,6.943,3.267,5.197
SA715OGG//D59-62,7.12,6.96,2.891,5.042
SA8L1K81//D59-63,7.134,6.95,2.891,5.049
SA9A8AUC//D59-64,7.136,6.946,2.892,5.038
SAA3VNQU//D59-63-1-CT,5.355,5.514,2.879,4.297
SAA3VNV0//D59-65,7.132,6.945,2.902,5.043
SAAR4EJ8//D59-66,7.142,6.953,2.917,5.054
SAF2AALR//D59-67,7.115,6.974,2.905,5.034
SAHBCV02//D59-68,7.136,6.935,2.908,5.055
SAHF4495//D59-68-1-CT,5.366,5.521,2.89,4.293
SAJTES0E//D59-69,7.123,6.954,2.894,5.038
SAM60AF0//D59-70,7.141,6.959,6.599,6.915
SAOEBFMR//D59-71,7.141,6.946,2.905,5.058
SAQ6WASR//D59-72,7.119,6.945,3.285,5.26
SAS99VNN//D59-73,7.13,6.946,3.264,5.24
SATW5JKO//D59-74,7.122,6.962,2.905,5.056
SAX2EF03//D59-76-1 CT,6.239,6.219,2.863,4.712
SAXCULNU//D59-76,7.124,6.948,2.52,4.847
SB15HGUF//D59-77,7.125,6.963,3.296,5.236
SB32L0DN//D59-78,7.131,6.937,3.265,5.24
SB4W7LQT//D59-79-1 CT,6.241,6.241,1.395,3.928
SB51WT27//D59-79,7.119,6.955,2.893,5.035
SB65CXNO//D59-80 CT,7.142,6.937,2.902,5.057
TAWHA09W//D59-75,7.132,6.949,2.519,4.859
